Method,Number of Days,Distance function,Days function,Base,Radius,Train file used,Test file used,TPP,TNP,FPP,FNP,rai,rpc,proportionSeg,proportionLarg
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,arithmetic_mean_31_23,13.895480616062285,0,28.81550508551487,0,0.06032011327176273,0.42815409925078496,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,geometric_mean_31_23,16.967855080764192,0,25.404344326510348,0,0.06032011327176273,0.42815409925078496,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,97845.52200000003,45,None,harmonic_mean_31_23,17.506832026984366,0,26.074804976172967,0,0.06032011327176273,0.42815409925078496,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,arithmetic_mean_31_23,14.37892650154596,0,27.29631003756124,0,0.06702234820495884,0.47572677783414974,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,geometric_mean_31_23,16.867178757231304,0,27.056199191533594,0,0.06702234820495884,0.47572677783414974,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,31008.934999999983,50,None,harmonic_mean_31_23,18.515607006809397,0,28.29689533702038,0,0.06702234820495884,0.47572677783414974,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,arithmetic_mean_31_23,13.62884791519428,0,27.44701334693206,0,0.07372458317855902,0.523299456704304,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,geometric_mean_31_23,16.49719818902156,0,27.18141614938883,0,0.07372458317855902,0.523299456704304,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,12110.717000000004,55,None,harmonic_mean_31_23,17.384799369613315,0,28.416049364256487,0,0.07372458317855902,0.523299456704304,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,arithmetic_mean_31_23,16.060914269484073,0,32.442992135335906,0,0.08042681923917377,0.5708721432901225,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,geometric_mean_31_23,17.071267459317596,0,32.17163074643237,0,0.08042681923917377,0.5708721432901225,1.06,1.04
Topology Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,5532.2990000000045,60,None,harmonic_mean_31_23,18.436036717190287,0,33.09168055620473,0,0.08042681923917377,0.5708721432901225,1.06,1.04
