LatitudeDecimal,LongitudeDecimal,Situacao,MediaDiasAposInicioCiclo,QuantidadeDeAnosUsados,QuantidadeDeAnosPositivos
-22.97290677726081,-52.59865135940319,Encerrado sem esporos,-1,3,0
-22.790262131956464,-52.59865135940319,Encerrado sem esporos,-1,3,0
-22.60761748665212,-52.59865135940319,Encerrado sem esporos,-1,3,0
-26.443155038043425,-52.38585536291932,Com esporos,115.0,3,1
-26.260510392739075,-52.38585536291932,Com esporos,119.0,3,1
-26.07786574743473,-52.38585536291932,Encerrado sem esporos,-1,3,0
-25.89522110213038,-52.38585536291932,Com esporos,122.33469387755102,3,2
-25.712576456826035,-52.38585536291932,Com esporos,119.39748953974895,3,2
-25.52993181152169,-52.38585536291932,Com esporos,124.7808764940239,3,2
-25.34728716621733,-52.38585536291932,Com esporos,121.01224489795918,3,2
-25.16464252091299,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.98199787560864,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.79935323030429,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.616708584999945,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.434063939695594,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.251419294391248,-52.38585536291932,Encerrado sem esporos,-1,3,0
-24.0687746490869,-52.38585536291932,Com esporos,125.08112492142989,3,3
-23.88613000378255,-52.38585536291932,Com esporos,110.3728813559322,3,2
-23.703485358478208,-52.38585536291932,Com esporos,166.0,3,1
-23.520840713173857,-52.38585536291932,Com esporos,152.0,3,1
-23.33819606786951,-52.38585536291932,Com esporos,152.0,3,1
-23.155551422565164,-52.38585536291932,Encerrado sem esporos,-1,3,0
-22.97290677726081,-52.38585536291932,Encerrado sem esporos,-1,3,0
-22.790262131956467,-52.38585536291932,Encerrado sem esporos,-1,3,0
-22.60761748665212,-52.38585536291932,Encerrado sem esporos,-1,3,0
-26.443155038043425,-52.173059366435446,Encerrado sem esporos,-1,3,0
-26.260510392739075,-52.17305936643545,Encerrado sem esporos,-1,3,0
-26.07786574743473,-52.173059366435446,Com esporos,127.0,3,1
-25.89522110213038,-52.17305936643545,Com esporos,151.0,3,1
-25.712576456826035,-52.17305936643545,Com esporos,151.0,3,1
-25.52993181152169,-52.173059366435446,Encerrado sem esporos,-1,3,0
-25.34728716621733,-52.17305936643545,Encerrado sem esporos,-1,3,0
-25.16464252091299,-52.17305936643545,Encerrado sem esporos,-1,3,0
-24.98199787560864,-52.173059366435446,Encerrado sem esporos,-1,3,0
-24.79935323030429,-52.17305936643545,Encerrado sem esporos,-1,3,0
-24.616708584999945,-52.173059366435446,Encerrado sem esporos,-1,3,0
-24.434063939695594,-52.17305936643545,Encerrado sem esporos,-1,3,0
-24.251419294391248,-52.173059366435446,Com esporos,96.0,3,1
-24.0687746490869,-52.17305936643545,Encerrado sem esporos,-1,3,0
-23.88613000378255,-52.17305936643545,Encerrado sem esporos,-1,3,0
-23.703485358478208,-52.173059366435446,Com esporos,133.09701492537312,3,2
-23.520840713173857,-52.17305936643545,Com esporos,151.9934210526316,3,2
-23.33819606786951,-52.17305936643545,Com esporos,138.3202846975089,3,2
-23.155551422565164,-52.173059366435446,Encerrado sem esporos,-1,3,0
-22.97290677726081,-52.17305936643545,Encerrado sem esporos,-1,3,0
-22.790262131956467,-52.17305936643545,Encerrado sem esporos,-1,3,0
-22.60761748665212,-52.173059366435446,Encerrado sem esporos,-1,3,0
-26.62579968334777,-51.960263369951576,Encerrado sem esporos,-1,3,0
-26.443155038043425,-51.96026336995157,Encerrado sem esporos,-1,3,0
-26.260510392739075,-51.960263369951576,Encerrado sem esporos,-1,3,0
-26.07786574743473,-51.96026336995157,Encerrado sem esporos,-1,3,0
-25.89522110213038,-51.960263369951576,Encerrado sem esporos,-1,3,0
-25.712576456826035,-51.960263369951576,Encerrado sem esporos,-1,3,0
-25.52993181152169,-51.96026336995157,Encerrado sem esporos,-1,3,0
-25.34728716621733,-51.960263369951576,Encerrado sem esporos,-1,3,0
-25.16464252091299,-51.960263369951576,Com esporos,131.0,3,1
-24.98199787560864,-51.96026336995157,Encerrado sem esporos,-1,3,0
-24.79935323030429,-51.960263369951576,Encerrado sem esporos,-1,3,0
-24.616708584999945,-51.96026336995157,Com esporos,132.0,3,1
-24.434063939695594,-51.960263369951576,Encerrado sem esporos,-1,3,0
-24.251419294391248,-51.96026336995157,Encerrado sem esporos,-1,3,0
-24.0687746490869,-51.960263369951576,Encerrado sem esporos,-1,3,0
-23.88613000378255,-51.960263369951576,Encerrado sem esporos,-1,3,0
-23.703485358478208,-51.96026336995157,Com esporos,149.50993377483442,3,2
-23.520840713173857,-51.960263369951576,Com esporos,144.0,3,1
-23.33819606786951,-51.960263369951576,Encerrado sem esporos,-1,3,0
-23.155551422565164,-51.96026336995157,Com esporos,138.0,3,1
-22.97290677726081,-51.960263369951576,Com esporos,159.0,3,1
-22.790262131956467,-51.960263369951576,Encerrado sem esporos,-1,3,0
-22.60761748665212,-51.96026336995157,Encerrado sem esporos,-1,3,0
-26.62579968334777,-51.747467373467714,Encerrado sem esporos,-1,3,0
-26.44315503804342,-51.74746737346771,Encerrado sem esporos,-1,3,0
-26.26051039273908,-51.747467373467714,Encerrado sem esporos,-1,3,0
-26.07786574743473,-51.74746737346771,Encerrado sem esporos,-1,3,0
-25.89522110213037,-51.747467373467714,Encerrado sem esporos,-1,3,0
-25.712576456826035,-51.747467373467714,Encerrado sem esporos,-1,3,0
-25.529931811521685,-51.74746737346771,Com esporos,130.0,3,1
-25.34728716621733,-51.747467373467714,Com esporos,130.0,3,1
-25.164642520912995,-51.747467373467714,Encerrado sem esporos,-1,3,0
-24.98199787560864,-51.74746737346771,Encerrado sem esporos,-1,3,0
-24.79935323030429,-51.747467373467714,Encerrado sem esporos,-1,3,0
-24.616708584999948,-51.74746737346771,Encerrado sem esporos,-1,3,0
-24.434063939695594,-51.747467373467714,Encerrado sem esporos,-1,3,0
-24.251419294391244,-51.74746737346771,Com esporos,152.0,3,1
-24.068774649086897,-51.747467373467714,Com esporos,147.97297297297297,3,2
-23.886130003782554,-51.747467373467714,Encerrado sem esporos,-1,3,0
-23.703485358478204,-51.74746737346771,Encerrado sem esporos,-1,3,0
-23.52084071317385,-51.747467373467714,Com esporos,136.20567375886523,3,2
-23.338196067869507,-51.747467373467714,Com esporos,161.0,3,1
-23.155551422565164,-51.74746737346771,Com esporos,157.0,3,1
-22.97290677726081,-51.747467373467714,Encerrado sem esporos,-1,3,0
-22.790262131956464,-51.747467373467714,Com esporos,102.0,3,1
-22.60761748665212,-51.74746737346771,Encerrado sem esporos,-1,3,0
-26.62579968334777,-51.53467137698384,Encerrado sem esporos,-1,3,0
-26.443155038043425,-51.53467137698384,Encerrado sem esporos,-1,3,0
-26.260510392739075,-51.53467137698384,Com esporos,123.75968992248063,3,2
-26.07786574743473,-51.53467137698384,Encerrado sem esporos,-1,3,0
-25.89522110213038,-51.53467137698384,Encerrado sem esporos,-1,3,0
-25.712576456826035,-51.53467137698384,Encerrado sem esporos,-1,3,0
-25.52993181152169,-51.53467137698384,Encerrado sem esporos,-1,3,0
-25.34728716621733,-51.53467137698384,Com esporos,125.33864541832669,3,2
-25.16464252091299,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.98199787560864,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.79935323030429,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.616708584999945,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.434063939695594,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.251419294391248,-51.53467137698384,Encerrado sem esporos,-1,3,0
-24.0687746490869,-51.53467137698384,Encerrado sem esporos,-1,3,0
-23.88613000378255,-51.53467137698384,Com esporos,132.57159922353293,3,3
-23.703485358478208,-51.53467137698384,Encerrado sem esporos,-1,3,0
-23.520840713173857,-51.53467137698384,Encerrado sem esporos,-1,3,0
-23.33819606786951,-51.53467137698384,Com esporos,141.99295774647888,3,2
-23.155551422565164,-51.53467137698384,Com esporos,69.62162162162163,3,2
-22.97290677726081,-51.53467137698384,Com esporos,145.0,3,1
-22.790262131956467,-51.53467137698384,Com esporos,155.0,3,1
-22.60761748665212,-51.53467137698384,Encerrado sem esporos,-1,3,0
-26.62579968334777,-51.32187538049996,Encerrado sem esporos,-1,3,0
-26.443155038043425,-51.32187538049996,Encerrado sem esporos,-1,3,0
-26.260510392739075,-51.32187538049996,Encerrado sem esporos,-1,3,0
-26.07786574743473,-51.32187538049996,Com esporos,153.9935064935065,3,2
-25.89522110213038,-51.32187538049996,Com esporos,137.0,3,1
-25.712576456826035,-51.32187538049996,Encerrado sem esporos,-1,3,0
-25.52993181152169,-51.32187538049996,Encerrado sem esporos,-1,3,0
-25.34728716621733,-51.32187538049996,Com esporos,131.0,3,1
-25.16464252091299,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.98199787560864,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.79935323030429,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.616708584999945,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.434063939695594,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.251419294391248,-51.32187538049996,Encerrado sem esporos,-1,3,0
-24.0687746490869,-51.32187538049996,Com esporos,169.0,3,1
-23.88613000378255,-51.32187538049996,Encerrado sem esporos,-1,3,0
-23.703485358478208,-51.32187538049996,Encerrado sem esporos,-1,3,0
-23.520840713173857,-51.32187538049996,Encerrado sem esporos,-1,3,0
-23.33819606786951,-51.32187538049996,Com esporos,84.93989071038251,3,2
-23.155551422565164,-51.32187538049996,Com esporos,127.0,3,1
-22.97290677726081,-51.32187538049996,Com esporos,127.96875,3,2
-22.790262131956467,-51.32187538049996,Com esporos,93.35988127627999,3,3
-22.60761748665212,-51.32187538049996,Encerrado sem esporos,-1,3,0
-26.260510392739075,-51.1090793840161,Encerrado sem esporos,-1,3,0
-26.07786574743473,-51.1090793840161,Encerrado sem esporos,-1,3,0
-25.89522110213038,-51.1090793840161,Encerrado sem esporos,-1,3,0
-25.712576456826035,-51.1090793840161,Encerrado sem esporos,-1,3,0
-25.52993181152169,-51.1090793840161,Encerrado sem esporos,-1,3,0
-25.34728716621733,-51.1090793840161,Encerrado sem esporos,-1,3,0
-25.16464252091299,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.98199787560864,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.79935323030429,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.616708584999945,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.434063939695594,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.251419294391248,-51.1090793840161,Encerrado sem esporos,-1,3,0
-24.0687746490869,-51.1090793840161,Encerrado sem esporos,-1,3,0
-23.88613000378255,-51.1090793840161,Encerrado sem esporos,-1,3,0
-23.703485358478208,-51.1090793840161,Com esporos,92.0,3,1
-23.520840713173857,-51.1090793840161,Encerrado sem esporos,-1,3,0
-23.33819606786951,-51.1090793840161,Com esporos,52.64957264957265,3,2
-23.155551422565164,-51.1090793840161,Com esporos,85.08247422680412,3,2
-22.97290677726081,-51.1090793840161,Com esporos,67.80916030534351,3,3
-22.790262131956467,-51.1090793840161,Com esporos,68.47096430474161,3,3
-26.26051039273908,-50.89628338753222,Com esporos,145.8108108108108,3,2
-26.07786574743473,-50.89628338753222,Com esporos,111.0,3,1
-25.89522110213037,-50.89628338753222,Encerrado sem esporos,-1,3,0
-25.712576456826035,-50.89628338753222,Com esporos,114.0,3,1
-25.529931811521685,-50.89628338753222,Encerrado sem esporos,-1,3,0
-25.34728716621733,-50.89628338753222,Com esporos,91.0,3,1
-25.164642520912995,-50.89628338753222,Com esporos,100.57237652858092,3,3
-24.98199787560864,-50.89628338753222,Encerrado sem esporos,-1,3,0
-24.79935323030429,-50.89628338753222,Com esporos,127.0,3,1
-24.616708584999948,-50.89628338753222,Com esporos,120.53877551020409,3,2
-24.434063939695594,-50.89628338753222,Encerrado sem esporos,-1,3,0
-24.251419294391244,-50.89628338753222,Encerrado sem esporos,-1,3,0
-24.068774649086897,-50.89628338753222,Encerrado sem esporos,-1,3,0
-23.886130003782554,-50.89628338753222,Encerrado sem esporos,-1,3,0
-23.703485358478204,-50.89628338753222,Encerrado sem esporos,-1,3,0
-23.52084071317385,-50.89628338753222,Com esporos,120.0,3,1
-23.338196067869507,-50.89628338753222,Com esporos,136.7518442805084,3,3
-23.155551422565164,-50.89628338753222,Com esporos,84.6546096162329,3,3
-22.97290677726081,-50.89628338753222,Com esporos,154.26822770033647,3,3
-22.790262131956464,-50.89628338753222,Encerrado sem esporos,-1,3,0
-26.260510392739075,-50.68348739104835,Encerrado sem esporos,-1,3,0
-26.07786574743473,-50.683487391048345,Com esporos,118.14345991561181,3,2
-25.89522110213038,-50.68348739104835,Encerrado sem esporos,-1,3,0
-25.712576456826035,-50.68348739104835,Com esporos,103.0,3,1
-25.52993181152169,-50.683487391048345,Encerrado sem esporos,-1,3,0
-25.34728716621733,-50.68348739104835,Encerrado sem esporos,-1,3,0
-25.16464252091299,-50.68348739104835,Encerrado sem esporos,-1,3,0
-24.98199787560864,-50.683487391048345,Com esporos,121.62162162162163,3,3
-24.79935323030429,-50.68348739104835,Encerrado sem esporos,-1,3,0
-24.616708584999945,-50.683487391048345,Com esporos,132.0,3,1
-24.434063939695594,-50.68348739104835,Encerrado sem esporos,-1,3,0
-24.251419294391248,-50.683487391048345,Encerrado sem esporos,-1,3,0
-24.0687746490869,-50.68348739104835,Encerrado sem esporos,-1,3,0
-23.88613000378255,-50.68348739104835,Encerrado sem esporos,-1,3,0
-23.703485358478208,-50.683487391048345,Encerrado sem esporos,-1,3,0
-23.520840713173857,-50.68348739104835,Com esporos,141.50602409638554,3,3
-23.33819606786951,-50.68348739104835,Com esporos,131.4980988593156,3,2
-23.155551422565164,-50.683487391048345,Com esporos,149.3046357615894,3,2
-22.97290677726081,-50.68348739104835,Encerrado sem esporos,-1,3,0
-26.07786574743473,-50.47069139456448,Encerrado sem esporos,-1,3,0
-25.89522110213038,-50.47069139456448,Com esporos,130.0,3,1
-25.712576456826035,-50.47069139456448,Encerrado sem esporos,-1,3,0
-25.52993181152169,-50.47069139456448,Encerrado sem esporos,-1,3,0
-25.34728716621733,-50.47069139456448,Com esporos,139.57597173144876,3,2
-25.16464252091299,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.98199787560864,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.79935323030429,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.616708584999945,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.434063939695594,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.251419294391248,-50.47069139456448,Encerrado sem esporos,-1,3,0
-24.0687746490869,-50.47069139456448,Encerrado sem esporos,-1,3,0
-23.88613000378255,-50.47069139456448,Encerrado sem esporos,-1,3,0
-23.703485358478208,-50.47069139456448,Com esporos,160.0,3,1
-23.520840713173857,-50.47069139456448,Encerrado sem esporos,-1,3,0
-23.33819606786951,-50.47069139456448,Encerrado sem esporos,-1,3,0
-23.155551422565164,-50.47069139456448,Com esporos,135.0,3,1
-22.97290677726081,-50.47069139456448,Encerrado sem esporos,-1,3,0
-26.07786574743473,-50.25789539808061,Encerrado sem esporos,-1,3,0
-25.89522110213038,-50.257895398080606,Encerrado sem esporos,-1,3,0
-25.712576456826035,-50.257895398080606,Com esporos,128.2645914396887,3,2
-25.52993181152169,-50.25789539808061,Encerrado sem esporos,-1,3,0
-25.34728716621733,-50.257895398080606,Encerrado sem esporos,-1,3,0
-25.16464252091299,-50.257895398080606,Com esporos,126.40316205533595,3,2
-24.98199787560864,-50.25789539808061,Encerrado sem esporos,-1,3,0
-24.79935323030429,-50.257895398080606,Encerrado sem esporos,-1,3,0
-24.616708584999945,-50.25789539808061,Encerrado sem esporos,-1,3,0
-24.434063939695594,-50.257895398080606,Encerrado sem esporos,-1,3,0
-24.251419294391248,-50.25789539808061,Encerrado sem esporos,-1,3,0
-24.0687746490869,-50.257895398080606,Encerrado sem esporos,-1,3,0
