Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1500,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1500,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1600,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1700,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1700,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1700,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1800,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1800,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1800,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1900,None,coletoressafra2021_31_23,38.251521038889656,0,96.53122695676139,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1900,None,coletoressafra2122_31_23,41.92263663805709,0,75.35716180206354,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,1900,None,coletoressafra2223_31_23,50.93284440491477,0,89.71103034475327,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000,None,coletoressafra2021_31_23,44.445911222408796,0,89.43999791767231,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000,None,coletoressafra2122_31_23,44.37576991133653,0,68.36983359890137,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2000,None,coletoressafra2223_31_23,50.79897717941009,0,81.39110710188758,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2100,None,coletoressafra2021_31_23,44.445911222408796,0,89.43999791767231,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2100,None,coletoressafra2122_31_23,44.37576991133653,0,68.36983359890137,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2100,None,coletoressafra2223_31_23,50.79897717941009,0,81.39110710188758,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2200,None,coletoressafra2021_31_23,44.445911222408796,0,89.43999791767231,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2200,None,coletoressafra2122_31_23,44.37576991133653,0,68.36983359890137,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2200,None,coletoressafra2223_31_23,50.79897717941009,0,81.39110710188758,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2300,None,coletoressafra2021_31_23,44.445911222408796,0,89.43999791767231,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2300,None,coletoressafra2122_31_23,44.37576991133653,0,68.36983359890137,0
Circular Growth touch,137,logaritmic_growth_distance,logaritmic_growth_days,2300,None,coletoressafra2223_31_23,50.79897717941009,0,81.39110710188758,0
