Method,Number of Days,Distance function,Days function,Base,RAI,RPC,Start day,End day,Test time,Test duration,File used,TPP,TNP,FPP,FNP
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:23:11.916917,20.532090425491333,coletoressafra2122_31_23,4.627785081126835,0,66.81550387289573,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:23:33.826653,21.909735679626465,coletoressafra2122_31_23,3.9613122031727226,0,60.4804993745728,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,70000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:23:58.749558,24.91291642189026,coletoressafra2223_31_23,4.648873426335595,0,62.74316798030785,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,700000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:24:25.688988,26.92944025993347,coletoressafra2223_31_23,3.7111796944499895,0,57.17090236558005,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,94000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:25:05.800844,40.11185646057129,coletoressafra2021_31_23,3.6223003463743453,0,83.97170848617382,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,940000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:25:49.582121,43.78127646446228,coletoressafra2021_31_23,2.915816149878306,0,78.24726286804838,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,94000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:26:10.277886,20.68766164779663,coletoressafra2122_31_23,4.305763550463611,0,66.52251341964363,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,940000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:26:32.293994,22.016108512878418,coletoressafra2122_31_23,3.680525668450114,0,59.60689853482713,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,94000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:26:57.486466,25.192471504211426,coletoressafra2223_31_23,4.295794549950116,0,62.056812961466996,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,940000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:27:24.668780,27.18231439590454,coletoressafra2223_31_23,3.441134980336685,0,56.46018486728081,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,95000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:28:04.771127,40.09234952926636,coletoressafra2021_31_23,3.4649905062220805,0,83.97170848617382,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,950000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:28:48.421812,43.64067816734314,coletoressafra2021_31_23,2.7910215713816164,0,78.24726286804838,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,95000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:29:09.139836,20.71802306175232,coletoressafra2122_31_23,4.123614382557933,0,66.52251341964363,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,950000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:29:31.242154,22.10231876373291,coletoressafra2122_31_23,3.526352937826674,0,59.60689853482713,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,95000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:29:56.418100,25.175945520401,coletoressafra2223_31_23,4.118572905055297,0,62.056812961466996,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,950000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:30:23.598186,27.17008376121521,coletoressafra2223_31_23,3.3006914470862414,0,56.46018486728081,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,63000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:31:03.234840,39.62666463851929,coletoressafra2021_31_23,3.4497813616608393,0,85.50532248439376,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,630000,,,2020-12-11 00:00:00,2021-04-26 00:00:00,2023-06-20 18:31:46.435107,43.190266132354736,coletoressafra2021_31_23,2.777331230041336,0,79.96307074473084,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,63000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:32:07.082985,20.64787769317627,coletoressafra2122_31_23,4.058454973249359,0,66.90629463142113,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,630000,,,2021-10-26 00:00:00,2022-03-11 00:00:00,2023-06-20 18:32:28.936913,21.853928565979004,coletoressafra2122_31_23,3.4853260499011918,0,60.732076018124594,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,63000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:32:53.866088,24.919180393218994,coletoressafra2223_31_23,4.098826712087284,0,62.81151426917142,0
Circular Growth no touch,137,logaritmic_growth_distance,logaritmic_growth_days,630000,,,2022-10-20 00:00:00,2023-03-05 00:00:00,2023-06-20 18:33:20.684536,26.808459281921387,coletoressafra2223_31_23,3.281607040742618,0,57.365974867196044,0
