Method,Number of Days,Distance function,Days function,Base,Train file used,Test file used,TPP,TNP,FPP,FNP
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,624,None,coletoressafra2122_31_23,55.98169343633685,0,105.1398697061912,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,624,None,coletoressafra2223_31_23,57.15991006946159,0,103.35274858654746,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,None,coletoressafra2021_31_23,23.821802217077643,0,77.51118047476473,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,None,coletoressafra2122_31_23,35.23689669776396,0,60.734292792356236,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,1000000,None,coletoressafra2223_31_23,34.95711658589707,0,58.24920482730815,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,None,coletoressafra2021_31_23,23.821802217077643,0,77.51118047476473,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,None,coletoressafra2122_31_23,35.23689669776396,0,60.734292792356236,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,900000,None,coletoressafra2223_31_23,34.95711658589707,0,58.24920482730815,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,None,coletoressafra2021_31_23,23.83574746348134,0,78.38239951683427,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,None,coletoressafra2122_31_23,34.916383635105255,0,62.552700140284074,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,800000,None,coletoressafra2223_31_23,35.04166616111367,0,59.12637150617845,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,None,coletoressafra2021_31_23,24.269742647240108,0,78.98655602732563,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,None,coletoressafra2122_31_23,35.15501386715699,0,63.25266985123238,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,700000,None,coletoressafra2223_31_23,36.07956061092695,0,59.9131148692282,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,None,coletoressafra2021_31_23,24.260029258181927,0,79.53981372377682,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,None,coletoressafra2122_31_23,35.422192299702076,0,64.02514566253195,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,600000,None,coletoressafra2223_31_23,35.45027816847453,0,60.57218399301952,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,None,coletoressafra2021_31_23,24.182262470286318,0,80.81475354317368,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,None,coletoressafra2122_31_23,36.15245496505044,0,66.04842337837619,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,500000,None,coletoressafra2223_31_23,35.63004350263974,0,62.09560555921017,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,None,coletoressafra2021_31_23,24.03230584313397,0,81.41469247339595,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,None,coletoressafra2122_31_23,36.86720054724085,0,66.86213605692865,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,400000,None,coletoressafra2223_31_23,36.78654645383282,0,63.03575567490639,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,None,coletoressafra2021_31_23,24.370028828147614,0,82.342871734408,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,None,coletoressafra2122_31_23,37.61047219921094,0,67.73970366653657,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,300000,None,coletoressafra2223_31_23,37.72127697788219,0,63.885038941164765,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,None,coletoressafra2021_31_23,24.78186080583942,0,84.75973552316836,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,None,coletoressafra2122_31_23,39.20103225978314,0,70.85044140108776,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,200000,None,coletoressafra2223_31_23,38.93434644800569,0,66.70297993198366,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,None,coletoressafra2021_31_23,25.60177150560781,0,88.67773531580936,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,None,coletoressafra2122_31_23,40.258539466801324,0,75.33675163417249,0
Mixed Growth,137,logaritmic_growth_distance,logaritmic_growth_days,100000,None,coletoressafra2223_31_23,40.523440793340136,0,70.99646117941373,0
